,FixedLocationID,Estuary,SectionName,StationName,StationNumber,ParcelName,ParcelArea,CultchDensity,LatitudeDec,LongitudeDec,Recruitment,Survey,Sediment,Collections,ShellBudget,Dataloggers,Cage,Wave,StartDate,EndDate,Comments,StationNameNumber,EstuaryLongName,DateLastCultched
130,S135,SS,S,SS Subtidal Baywide 16,16,NA,NA,NA,29.20243,-83.10823,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest AP,SS Subtidal Baywide 16-16,Suwannee Sound,NA
131,S136,SS,S,SS Subtidal Baywide 12,12,NA,NA,NA,29.2083,-83.1172,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest AP,SS Subtidal Baywide 12-12,Suwannee Sound,NA
132,S137,SS,S,SS Subtidal Baywide 19,19,NA,NA,NA,29.21824,-83.12683,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest AP,SS Subtidal Baywide 19-19,Suwannee Sound,NA
133,S138,SS,C,SS Subtidal Baywide 2,2,NA,NA,NA,29.27494,-83.12794,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 2-2,Suwannee Sound,NA
134,S139,SS,C,SS Subtidal Baywide 202,202,NA,NA,NA,29.27553,-83.12609,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 202-202,Suwannee Sound,NA
135,S140,SS,C,SS Subtidal Baywide 28,28,NA,NA,NA,29.28637,-83.1658,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 28-28,Suwannee Sound,NA
136,S141,SS,C,SS Subtidal Baywide 18,18,NA,NA,NA,29.28159,-83.15949,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 18-18,Suwannee Sound,NA
137,S142,SS,C,SS Subtidal Baywide 13,13,NA,NA,NA,29.2793,-83.15583,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 13-13,Suwannee Sound,NA
138,S143,SS,C,SS Subtidal Baywide 17,17,NA,NA,NA,29.28091,-83.15516,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 17-17,Suwannee Sound,NA
139,S144,SS,C,SS Subtidal Baywide 20,20,NA,NA,NA,29.27969,-83.15015,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 20-20,Suwannee Sound,NA
140,S145,SS,C,SS Subtidal Baywide 26,26,NA,NA,NA,29.25901,-83.11019,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 26-26,Suwannee Sound,NA
141,S146,SS,C,SS Subtidal Baywide 1,1,NA,NA,NA,29.264,-83.11338,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 1-1,Suwannee Sound,NA
142,S147,SS,C,SS Subtidal Baywide 23,23,NA,NA,NA,29.26042,-83.10946,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 23-23,Suwannee Sound,NA
143,S148,SS,C,SS Subtidal Baywide 6,6,NA,NA,NA,29.26305,-83.10481,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 6-6,Suwannee Sound,NA
144,S149,SS,C,SS Subtidal Baywide 102,102,NA,NA,NA,29.26475,-83.11054,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 102-102,Suwannee Sound,NA
145,S150,SS,C,SS Subtidal Baywide 8,8,NA,NA,NA,29.26761,-83.10786,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 8-8,Suwannee Sound,NA
146,S151,SS,C,SS Subtidal Baywide 25,25,NA,NA,NA,29.26916,-83.11258,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 25-25,Suwannee Sound,NA
147,S152,SS,C,SS Subtidal Baywide 29,29,NA,NA,NA,29.27029,-83.10921,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 29-29,Suwannee Sound,NA
148,S153,SS,C,SS Subtidal Baywide 31,31,NA,NA,NA,29.27114,-83.10862,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 31-31,Suwannee Sound,NA
149,S154,SS,C,SS Subtidal Baywide 30,30,NA,NA,NA,29.27145,-83.1105,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 30-30,Suwannee Sound,NA
150,S155,SS,C,SS Subtidal Baywide 27,27,NA,NA,NA,29.27229,-83.1118,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 27-27,Suwannee Sound,NA
151,S156,SS,C,SS Subtidal Baywide 10,10,NA,NA,NA,29.27451,-83.11231,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 10-10,Suwannee Sound,NA
152,S157,SS,C,SS Subtidal Baywide 11,11,NA,NA,NA,29.2778,-83.11163,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 11-11,Suwannee Sound,NA
153,S158,SS,C,SS Subtidal Baywide 22,22,NA,NA,NA,29.30098,-83.18099,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 22-22,Suwannee Sound,NA
154,S159,SS,C,SS Subtidal Baywide 14,14,NA,NA,NA,29.28822,-83.17253,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest PD,SS Subtidal Baywide 14-14,Suwannee Sound,NA
155,T033,TB,M,TB M 27412_82313 41,41,NA,NA,NA,27.68683,-82.52268,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27412_82313,TB-M-27412_82313-41,Tampa Bay,NA
156,C044,CR,W,CR W 26304_82038 49,49,NA,NA,NA,26.50752,-82.06379,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26304_82038,CR-W-26304_82038-49,Caloosahatchee River,NA
157,C045,CR,W,CR W 26304_82035 50,50,NA,NA,NA,26.50832,-82.05982,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26304_82035,CR-W-26304_82035-50,Caloosahatchee River,NA
158,C046,CR,W,CR W 26303_82036 51,51,NA,NA,NA,26.50596,-82.06042,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26303_82036,CR-W-26303_82036-51,Caloosahatchee River,NA
159,C047,CR,W,CR W 26303_82035 52,52,NA,NA,NA,26.50502,-82.05972,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26303_82035,CR-W-26303_82035-52,Caloosahatchee River,NA
160,C048,CR,W,CR W 26292_82032 53,53,NA,NA,NA,26.4875,-82.05417,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26292_82032,CR-W-26292_82032-53,Caloosahatchee River,NA
161,C049,CR,W,CR W 26297_82004 54,54,NA,NA,NA,26.49583,-82.0075,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26297_82004,CR-W-26297_82004-54,Caloosahatchee River,NA
162,C050,CR,W,CR W 26296_82005 55,55,NA,NA,NA,26.49435,-82.00897,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26296_82005,CR-W-26296_82005-55,Caloosahatchee River,NA
163,C051,CR,W,CR W 26296_82002 56,56,NA,NA,NA,26.49401,-82.0039,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26296_82002,CR-W-26296_82002-56,Caloosahatchee River,NA
164,C052,CR,W,CR W 26297_82002 57,57,NA,NA,NA,26.49544,-82.00494,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26297_82002,CR-W-26297_82002-57,Caloosahatchee River,NA
165,C053,CR,W,CR W 26304_82005 58,58,NA,NA,NA,26.50779,-82.00965,N,Y,N,N,N,N,N,N,7/31/2024,9/1/2024,26304_82005,CR-W-26304_82005-58,Caloosahatchee River,NA
166,T051,TB,R,TB R 27316_82282 59,59,NA,NA,NA,27.5275,-82.470833,N,Y,N,N,N,N,N,N,6/30/2024,10/1/2024,27316_82282,TB-R-27316_82282-59,Tampa Bay,NA
167,T027,TB,L,TB L 27382_82433 35,35,NA,NA,NA,27.63784,-82.72304,N,Y,N,Y,N,N,N,N,12/31/2023,4/1/2024,27382_82433,TB-L-27382_82433-35,Tampa Bay,NA
168,T028,TB,L,TB L 27377_82434 36,36,NA,NA,NA,27.62993,-82.72372,N,Y,N,Y,N,N,N,N,12/31/2023,4/1/2024,27377_82434,TB-L-27377_82434-36,Tampa Bay,NA
169,T029,TB,L,TB L 27373_82438 37,37,NA,NA,NA,27.62257,-82.73054,N,Y,N,Y,N,N,N,N,12/31/2023,4/1/2024,27373_82438,TB-L-27373_82438-37,Tampa Bay,NA
170,T030,TB,L,TB L 27374_82438 38,38,NA,NA,NA,27.62486,-82.73138,N,Y,N,Y,N,N,N,N,12/31/2023,4/1/2024,27374_82438,TB-L-27374_82438-38,Tampa Bay,NA
171,T031,TB,L,TB L 27371_82440 39,39,NA,NA,NA,27.61933,-82.73342,N,Y,N,Y,N,N,N,N,12/31/2023,4/1/2024,27371_82440,TB-L-27371_82440-39,Tampa Bay,NA
172,T032,TB,L,TB L 27386_82428 40,40,NA,NA,NA,27.64392,-82.71442,N,Y,N,Y,N,N,N,N,12/31/2023,4/1/2024,27386_82428,TB-L-27386_82428-40,Tampa Bay,NA
173,T035,TB,M,TB M 27427_82301 43,43,NA,NA,NA,27.71248,-82.50214,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27427_82301,TB-M-27427_82301-43,Tampa Bay,NA
174,T037,TB,M,TB M 27426_82299 45,45,NA,NA,NA,27.711,-82.49915,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27426_82299,TB-M-27426_82299-45,Tampa Bay,NA
175,T038,TB,M,TB M 27426_82300 46,46,NA,NA,NA,27.71066,-82.50096,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27426_82300,TB-M-27426_82300-46,Tampa Bay,NA
176,T039,TB,M,TB M 27426_82300 47,47,NA,NA,NA,27.71041,-82.50108,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27426_82300,TB-M-27426_82300-47,Tampa Bay,NA
177,T040,TB,M,TB M 27425_82300 48,48,NA,NA,NA,27.70919,-82.50072,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27425_82300,TB-M-27425_82300-48,Tampa Bay,NA
178,T041,TB,M,TB M 27425_82301 49,49,NA,NA,NA,27.70881,-82.50196,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27425_82301,TB-M-27425_82301-49,Tampa Bay,NA
179,T042,TB,M,TB M 27424_82300 50,50,NA,NA,NA,27.7075,-82.50092,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27424_82300,TB-M-27424_82300-50,Tampa Bay,NA
180,T043,TB,M,TB M 27424_82300 51,51,NA,NA,NA,27.70669,-82.50039,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27424_82300,TB-M-27424_82300-51,Tampa Bay,NA
181,T044,TB,M,TB M 27420_82301 52,52,NA,NA,NA,27.70062,-82.50257,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27420_82301,TB-M-27420_82301-52,Tampa Bay,NA
182,T045,TB,M,TB M 27423_82301 53,53,NA,NA,NA,27.70616,-82.5032,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27423_82301,TB-M-27423_82301-53,Tampa Bay,NA
183,T046,TB,M,TB M 27424_82304 54,54,NA,NA,NA,27.70819,-82.50712,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27424_82304,TB-M-27424_82304-54,Tampa Bay,NA
184,T047,TB,M,TB M 27425_82303 55,55,NA,NA,NA,27.709156,-82.50583,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27425_82303,TB-M-27425_82303-55,Tampa Bay,NA
185,T048,TB,M,TB M 27426_82298 56,56,NA,NA,NA,27.71096,-82.49736,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27426_82298,TB-M-27426_82298-56,Tampa Bay,NA
186,T049,TB,M,TB M 27426_82298 57,57,NA,NA,NA,27.71073,-82.49735,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27426_82298,TB-M-27426_82298-57,Tampa Bay,NA
187,T050,TB,M,TB M 27427_82296 58,58,NA,NA,NA,27.7126,-82.49369,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,27427_82296,TB-M-27427_82296-58,Tampa Bay,NA
188,0001,AB,C,NFWF Hotel Bar,1,Hotel Bar 1,2,100,29.67122,-84.9057,N,N,N,N,N,N,N,N,6/1/2015,12/31/2019,"Polygon Boundaries: 29.671888,-84.906043;29.670682,-84.905881;29.671902,-84.905430;29.670697,-84.905268",NFWF Hotel Bar-1,Apalachicola Bay,8/19/2015
189,0002,AB,C,NFWF Hotel Bar,2,Hotel Bar 2,2,0,29.6715,-84.90512,N,N,N,N,N,N,N,N,6/1/2015,12/31/2019,"Polygon Boundaries: 29.671904,-84.905351;29.671919,-84.904738;29.670699,-84.905189;29.670713,-84.904576",NFWF Hotel Bar-2,Apalachicola Bay,NA
190,0003,AB,C,NFWF Hotel Bar,3,Hotel Bar 3,2,300,29.6716,-84.90442,N,N,N,N,N,N,N,N,6/1/2015,12/31/2019,"Polygon Boundaries: 29.671920,-84.904659;29.671935,-84.904046;29.670729,-84.903884;29.670715,-84.904497",NFWF Hotel Bar-3,Apalachicola Bay,8/19/2015
191,0004,AB,C,NFWF Hotel Bar,4,Hotel Bar 4,2,400,29.67162,-84.90363,N,N,N,N,N,N,N,N,6/1/2015,12/31/2019,"Polygon Boundaries: 29.670731,-84.903805;29.670746,-84.903192;29.671937,-84.903967;29.671951,-84.903354",NFWF Hotel Bar-4,Apalachicola Bay,8/19/2015
192,0005,AB,C,NFWF Hotel Bar,5,Hotel Bar 5,2,200,29.67147,-84.90288,N,N,N,N,N,N,N,N,6/1/2015,12/31/2019,"Polygon Boundaries: 29.670748,-84.903113;29.670762,-84.902500;29.671968,-84.902662;29.671953,-84.903275",NFWF Hotel Bar-5,Apalachicola Bay,8/19/2015
193,0006,AB,C,Halfmoon,6,NA,NA,NA,29.73755,-84.923833,Y,Y,N,N,N,N,N,N,1/1/2015,9/11/2015,NA,Halfmoon-6,Apalachicola Bay,NA
194,0007,AB,C,Halfmoon,6,NA,NA,NA,29.737666,-84.927316,Y,Y,Y,Y,N,N,N,N,9/1/2015,12/31/2099,NA,Halfmoon-6,Apalachicola Bay,NA
195,0008,AB,C,Sediment Halfmoon,6,NA,NA,NA,29.73455,-84.92615,N,N,Y,N,N,N,N,N,1/1/2018,7/31/2022,NA,Sediment Halfmoon-6,Apalachicola Bay,NA
196,0009,AB,C,SBM Halfmoon,6,Halfmoon ,2,NA,29.73687,-84.92697,N,N,N,N,Y,N,N,N,1/1/2019,12/31/2099,"Polygon Boundaries: 29.737442,-84.927278;29.736855,-84.926490;29.736302,-84.927031;29.736889,-84.927819",SBM Halfmoon-6,Apalachicola Bay,NA
197,0010,AB,C,Lighthouse,7,NA,NA,NA,29.708333,-84.921233,Y,Y,N,N,N,N,N,N,1/1/2015,9/11/2015,NA,Lighthouse-7,Apalachicola Bay,NA
198,0011,AB,C,Lighthouse,7,NA,NA,NA,29.709366,-84.9148,Y,Y,N,Y,N,N,N,N,9/1/2015,12/31/2099,NA,Lighthouse-7,Apalachicola Bay,NA
199,0012,AB,C,SBM Lighthouse,7,Lighthouse ,2,NA,29.71233,-84.91598,N,N,N,N,Y,N,N,N,1/1/2019,9/30/2021,"Polygon Boundaries: 29.712011,-84.916411;29.712430,-84.915559;29.711760,-84.915126;29.711340,-84.915979",SBM Lighthouse-7,Apalachicola Bay,7/19/2021
200,0013,AB,C,SBM Lighthouse,7,Lighthouse North,0.6,NA,29.71178,-84.91548,N,N,N,N,Y,N,N,N,1/1/2019,9/30/2021,"Polygon Boundaries: 29.712083,-84.915450;29.712083,-84.915700;29.711183,-84.915700;29.711183,-84.915450",SBM Lighthouse-7,Apalachicola Bay,7/19/2021
201,0014,AB,C,SBM Lighthouse,7,Lighthouse South,0.6,NA,29.71052,-84.91508,N,N,N,N,Y,N,N,N,1/1/2019,9/30/2021,"Polygon Boundaries: 29.710766,-84.915260;29.709864,-84.915279;29.709860,-84.915021;29.710762,-84.915002",SBM Lighthouse-7,Apalachicola Bay,7/19/2021
202,0015,AB,C,Normans,8,NA,NA,NA,29.677666,-84.927033,Y,Y,N,N,N,N,N,N,1/1/2015,9/11/2015,NA,Normans-8,Apalachicola Bay,NA
203,0016,AB,C,Normans,8,NA,NA,NA,29.67795,-84.92735,Y,Y,N,Y,N,N,N,N,9/1/2015,12/31/2099,NA,Normans-8,Apalachicola Bay,NA
204,0017,AB,C,SBM Normans,8,Normans ,2,NA,29.67783,-84.9258,N,N,N,N,Y,N,N,N,1/1/2019,12/31/2099,"Polygon Boundaries: 29.678129,-84.926464;29.678115,-84.925533;29.677302,-84.925550;29.677316,-84.926481",SBM Normans-8,Apalachicola Bay,NA
205,0018,AB,C,Hotel,9,NA,NA,NA,29.671983,-84.889433,Y,Y,N,N,N,N,N,N,1/1/2015,9/11/2015,NA,Hotel-9,Apalachicola Bay,NA
206,0019,AB,C,Hotel,9,NA,NA,NA,29.671616,-84.90255,Y,Y,Y,Y,N,N,N,N,9/1/2015,12/31/2099,NA,Hotel-9,Apalachicola Bay,NA
207,0020,AB,C,Sediment-Hotel,9,NA,NA,NA,29.670683,-84.902716,N,N,Y,N,N,N,N,N,1/1/2018,7/31/2022,NA,Sediment-Hotel-9,Apalachicola Bay,NA
208,0021,AB,C,Datalogger-Hotel,9,NA,NA,NA,29.673116,-84.89685,N,N,N,N,N,Y,N,N,1/1/2018,12/31/2099,NA,Datalogger-Hotel-9,Apalachicola Bay,NA
209,0022,AB,C,SBM Hotel,9,Hotel East,2,NA,29.6715,-84.90382,N,N,N,N,Y,N,N,N,1/1/2019,12/31/2099,"Polygon Boundaries: 29.671937,-84.903967;29.671951,-84.903354;29.670746,-84.903192;29.670731,-84.903805",SBM Hotel-East,Apalachicola Bay,8/19/2015
210,0023,AB,C,SBM Hotel,9,Hotel West,2,NA,29.67162,-84.90413,N,N,N,N,Y,N,N,N,1/1/2019,12/31/2099,"Polygon Boundaries: 29.671920,-84.904659;29.671935,-84.904046;29.670729,-84.903884;29.670715,-84.904497",SBM Hotel-West,Apalachicola Bay,8/19/2015
211,0024,AB,C,East Lumps,10,NA,NA,NA,29.713333,-84.900716,Y,Y,N,Y,N,N,N,N,1/1/2015,12/31/2099,NA,East Lumps-10,Apalachicola Bay,NA
212,0025,AB,C,SBM East Lumps,10,East Lumps ,2,NA,29.71295,-84.9011,N,N,N,N,Y,N,N,N,1/1/2019,9/30/2021,"Polygon Boundaries: 29.713300,-84.900700;29.712498,-84.900855;29.712635,-84.901780;29.713437,-84.901624",SBM East Lumps-10,Apalachicola Bay,7/19/2021
213,0026,AB,C,SBM East Lumps,10,East Lumps North,0.6,NA,29.71313,-84.90028,N,N,N,N,Y,N,N,N,1/1/2019,9/30/2021,"Polygon Boundaries: 29.713217,-84.899867;29.713217,-84.900917;29.713000,-84.900917;29.713000,-84.899867",SBM East Lumps-10,Apalachicola Bay,7/19/2021
214,0027,AB,C,SBM East Lumps,10,East Lumps South,0.6,NA,29.71275,-84.90028,N,N,N,N,Y,N,N,N,1/1/2019,9/30/2021,"Polygon Boundaries: 29.712833,-84.899950;29.712617,-84.899950;29.712617,-84.901000;29.712833,-84.901000",SBM East Lumps-10,Apalachicola Bay,7/19/2021
215,0028,AB,C,AB Baywide 1375,1375,NA,NA,NA,29.746066,-84.919333,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1375-1375,Apalachicola Bay,NA
216,0029,AB,C,AB Baywide 1384,1384,NA,NA,NA,29.743683,-84.934433,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1384-1384,Apalachicola Bay,NA
217,0030,AB,C,AB Baywide 1388,1388,NA,NA,NA,29.744133,-84.927683,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1388-1388,Apalachicola Bay,NA
218,0031,AB,C,AB Baywide 1389,1389,NA,NA,NA,29.744083,-84.9261,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1389-1389,Apalachicola Bay,NA
219,0032,AB,C,AB Baywide 1403,1403,NA,NA,NA,29.7423,-84.936383,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1403-1403,Apalachicola Bay,NA
220,0033,AB,C,AB Baywide 1424,1424,NA,NA,NA,29.740266,-84.937633,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1424-1424,Apalachicola Bay,NA
221,0034,AB,C,AB Baywide 1430,1430,NA,NA,NA,29.740633,-84.927666,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1430-1430,Apalachicola Bay,NA
222,0035,AB,C,AB Baywide 1439,1439,NA,NA,NA,29.740883,-84.913183,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1439-1439,Apalachicola Bay,NA
223,0036,AB,C,AB Baywide 1440,1440,NA,NA,NA,29.73815,-84.9486,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1440-1440,Apalachicola Bay,NA
224,0037,AB,C,AB Baywide 1447,1447,NA,NA,NA,29.738583,-84.937783,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1447-1447,Apalachicola Bay,NA
225,0038,AB,C,AB Baywide 1549,1549,NA,NA,NA,29.718683,-84.9177,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1549-1549,Apalachicola Bay,NA
226,0039,AB,C,AB Baywide 1557,1557,NA,NA,NA,29.716166,-84.91895,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1557-1557,Apalachicola Bay,NA
227,0040,AB,C,AB Baywide 1570,1570,NA,NA,NA,29.7125,-84.915866,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1570-1570,Apalachicola Bay,NA
228,0041,AB,C,AB Baywide 1573,1573,NA,NA,NA,29.710116,-84.920033,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1573-1573,Apalachicola Bay,NA
229,0042,AB,C,AB Baywide 1602,1602,NA,NA,NA,29.708483,-84.912466,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1602-1602,Apalachicola Bay,NA
230,0043,AB,C,AB Baywide 1618,1618,NA,NA,NA,29.7023,-84.931183,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1618-1618,Apalachicola Bay,NA
231,0044,AB,C,AB Baywide 1620,1620,NA,NA,NA,29.699583,-84.938483,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1620-1620,Apalachicola Bay,NA
232,0045,AB,C,AB Baywide 1621,1621,NA,NA,NA,29.700316,-84.937883,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1621-1621,Apalachicola Bay,NA
233,0046,AB,C,AB Baywide 1640,1640,NA,NA,NA,29.693566,-84.9278,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1640-1640,Apalachicola Bay,NA
234,0047,AB,C,AB Baywide 1660,1660,NA,NA,NA,29.686783,-84.933083,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1660-1660,Apalachicola Bay,NA
235,0048,AB,C,AB Baywide 1687,1687,NA,NA,NA,29.681833,-84.92835,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1687-1687,Apalachicola Bay,NA
236,0049,AB,C,AB Baywide 1717,1717,NA,NA,NA,29.677,-84.924283,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1717-1717,Apalachicola Bay,NA
237,0050,AB,C,AB Baywide 1725,1725,NA,NA,NA,29.677,-84.902433,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1725-1725,Apalachicola Bay,NA
238,0051,AB,C,AB Baywide 1743,1743,NA,NA,NA,29.672666,-84.9226,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1743-1743,Apalachicola Bay,NA
239,0052,AB,C,AB Baywide 1761,1761,NA,NA,NA,29.672966,-84.919,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1761-1761,Apalachicola Bay,NA
240,0053,AB,C,AB Baywide 1762,1762,NA,NA,NA,29.673216,-84.9179,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1762-1762,Apalachicola Bay,NA
241,0054,AB,C,AB Baywide 1767,1767,NA,NA,NA,29.67105,-84.906416,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1767-1767,Apalachicola Bay,NA
242,0055,AB,C,AB Baywide 1768,1768,NA,NA,NA,29.672233,-84.907316,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Sand,AB Baywide 1768-1768,Apalachicola Bay,NA
243,0056,AB,C,AB Baywide 1769,1769,NA,NA,NA,29.671683,-84.906533,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1769-1769,Apalachicola Bay,NA
244,0057,AB,C,AB Baywide 1784,1784,NA,NA,NA,29.67075,-84.901666,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1784-1784,Apalachicola Bay,NA
245,0058,AB,C,AB Baywide 1828,1828,NA,NA,NA,29.744116,-84.9078,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1828-1828,Apalachicola Bay,NA
246,0059,AB,C,AB Baywide 1846,1846,NA,NA,NA,29.727716,-84.909166,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1846-1846,Apalachicola Bay,NA
247,0060,AB,C,AB Baywide 1868,1868,NA,NA,NA,29.717066,-84.9024,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1868-1868,Apalachicola Bay,NA
248,0061,AB,C,AB Baywide 1877,1877,NA,NA,NA,29.7158,-84.90555,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Mud,AB Baywide 1877-1877,Apalachicola Bay,NA
249,0062,AB,C,AB Baywide 1892,1892,NA,NA,NA,29.712383,-84.901583,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1892-1892,Apalachicola Bay,NA
250,0063,AB,C,AB Baywide 1894,1894,NA,NA,NA,29.71345,-84.899216,N,Y,N,N,N,N,N,N,5/1/2016,7/31/2016,Substrate = Oyster,AB Baywide 1894-1894,Apalachicola Bay,NA
