"","SampleEventWQID","SampleEventID","Temperature","Salinity","DissolvedOxygen","pH","Depth","SampleDepth","Secchi","TurbidityYSI","TurbidityHach","Comments","CollectionTime","PercentDissolvedOxygen","YSICalibration","YSINotes"
"4666","SLRCRT_20220210_1_0271_1_01","SLRCRT_20220210_1_0271_1",18.6,14.63,7.6,7.83,0.6,NA,0.5,19.6,10.41,NA,NA,NA,NA,NA
"4667","CRRCRT_20220215_1_0230_1_01","CRRCRT_20220215_1_0230_1",16.5,11.19,9.3,8.16,0.4,NA,0.4,5.5,3.74,NA,NA,NA,NA,NA
"4668","CRRCRT_20220215_1_0231_1_01","CRRCRT_20220215_1_0231_1",16.3,12.25,9.4,8.31,0.4,NA,0.4,3.92,2.3,NA,NA,NA,NA,NA
"4669","CRRCRT_20220215_1_0232_1_01","CRRCRT_20220215_1_0232_1",17.8,18.37,8.63,8.22,0.35,NA,0.35,4.01,1.95,NA,NA,NA,NA,NA
"4670","CRRCRT_20220215_1_0233_1_01","CRRCRT_20220215_1_0233_1",18.3,19.54,8.92,8.26,0.45,NA,0.45,5.33,3.7,NA,NA,NA,NA,NA
"4671","LXRCRT_20220309_1_0242_1_01","LXRCRT_20220309_1_0242_1",26.9,21.49,6.93,7.99,0.5,NA,0.5,7.44,7.72,NA,NA,NA,NA,NA
"4672","LXRCRT_20220309_1_0243_1_01","LXRCRT_20220309_1_0243_1",26.8,22.33,7.48,8.02,0.5,NA,0.5,8.61,4.52,NA,NA,NA,NA,NA
"4673","LXRCRT_20220309_1_0244_1_01","LXRCRT_20220309_1_0244_1",26.3,16.37,6.95,7.91,0.7,NA,0.7,4.14,1.84,NA,NA,NA,NA,NA
"4674","LXRCRT_20220309_1_0246_1_01","LXRCRT_20220309_1_0246_1",27.6,34.23,8.91,8.18,0.7,NA,0.7,5.86,7.92,NA,NA,NA,NA,NA
"4675","LXRCRT_20220309_1_0247_1_01","LXRCRT_20220309_1_0247_1",27.8,32.27,9.64,8.13,0.7,NA,0.7,6,2.05,NA,NA,NA,NA,NA
"4676","LXRCRT_20220309_1_0249_1_01","LXRCRT_20220309_1_0249_1",27.5,35.25,8.8,8.18,0.7,NA,0.7,6.15,3.41,NA,NA,NA,NA,NA
"4677","SLRCRT_20220309_1_0255_1_01","SLRCRT_20220309_1_0255_1",24.5,27.06,6.44,7.96,0.55,NA,0.55,11.3,6.68,NA,NA,NA,NA,NA
"4678","SLRCRT_20220309_1_0256_1_01","SLRCRT_20220309_1_0256_1",24.9,27.03,6.48,7.93,0.5,NA,0.5,6.14,2.25,NA,NA,NA,NA,NA
"4679","SLRCRT_20220309_1_0257_1_01","SLRCRT_20220309_1_0257_1",24.9,25.53,6.31,7.91,0.5,NA,0.5,11,8.88,NA,NA,NA,NA,NA
"4680","SLRCRT_20220309_1_0261_1_01","SLRCRT_20220309_1_0261_1",25,24.1,7.28,8.01,0.7,NA,0.7,11,11.88,NA,NA,NA,NA,NA
"4681","SLRCRT_20220309_1_0262_1_01","SLRCRT_20220309_1_0262_1",25.3,25.67,6.9,7.94,0.9,NA,0.6,28.4,14.68,NA,NA,NA,NA,NA
"4682","SLRCRT_20220309_1_0264_1_01","SLRCRT_20220309_1_0264_1",25.6,24.76,6.81,7.92,0.5,NA,0.5,6.14,4.26,NA,NA,NA,NA,NA
"4683","SLRCRT_20220309_1_0269_1_01","SLRCRT_20220309_1_0269_1",25.6,24.73,6.6,7.89,0.6,NA,0.5,11.1,22.45,NA,NA,NA,NA,NA
"4684","SLRCRT_20220309_1_0270_1_01","SLRCRT_20220309_1_0270_1",25.4,24.14,6.37,7.86,0.6,NA,0.45,27.4,18.1,NA,NA,NA,NA,NA
"4685","SLRCRT_20220309_1_0271_1_01","SLRCRT_20220309_1_0271_1",27.5,19.76,6.24,7.76,0.5,NA,0.3,14.1,17.83,NA,NA,NA,NA,NA
"4686","CRRCRT_20220315_1_0230_1_01","CRRCRT_20220315_1_0230_1",21.5,14.48,8.19,7.91,0.55,NA,0.55,3.53,2.66,NA,NA,NA,NA,NA
"4687","CRRCRT_20220315_1_0231_1_01","CRRCRT_20220315_1_0231_1",22.4,23.18,7.69,7.99,0.4,NA,0.4,2.59,2.5,NA,NA,NA,NA,NA
"4688","CRRCRT_20220315_1_0232_1_01","CRRCRT_20220315_1_0232_1",21.9,25.92,7.83,8.07,0.5,NA,0.5,5.32,3.6,NA,NA,NA,NA,NA
"4689","CRRCRT_20220315_1_0233_1_01","CRRCRT_20220315_1_0233_1",23.2,27.19,7.72,8.09,0.5,NA,0.5,3.51,4.65,NA,NA,NA,NA,NA
"4690","LXRCRT_20220405_1_0242_1_01","LXRCRT_20220405_1_0242_1",26.8,24.78,6.77,7.9,0.9,NA,0.9,8.84,9.02,NA,NA,NA,NA,NA
"4691","LXRCRT_20220405_1_0243_1_01","LXRCRT_20220405_1_0243_1",26.7,25.08,6.97,7.91,0.6,NA,0.6,4.49,4.67,NA,NA,NA,NA,NA
"4692","LXRCRT_20220405_1_0244_1_01","LXRCRT_20220405_1_0244_1",26.1,22.21,6.6,7.87,0.9,NA,0.9,2.85,1.69,NA,NA,NA,NA,NA
"4693","LXRCRT_20220405_1_0246_1_01","LXRCRT_20220405_1_0246_1",27.6,30.33,8.33,8,0.65,NA,0.65,6.28,3.07,NA,NA,NA,NA,NA
"4694","LXRCRT_20220405_1_0247_1_01","LXRCRT_20220405_1_0247_1",28.1,28.05,8.52,8.03,0.7,NA,0.7,4.64,4.47,NA,NA,NA,NA,NA
"4695","LXRCRT_20220405_1_0249_1_01","LXRCRT_20220405_1_0249_1",28.1,28.72,8.61,8.02,0.6,NA,0.6,4.81,4.23,NA,NA,NA,NA,NA
"4696","SLRCRT_20220406_1_0255_1_01","SLRCRT_20220406_1_0255_1",25.5,24.33,5.84,7.84,0.5,NA,0.5,6.68,6.39,NA,NA,NA,NA,NA
"4697","SLRCRT_20220406_1_0256_1_01","SLRCRT_20220406_1_0256_1",25.4,23.95,5.85,7.84,0.45,NA,0.45,6.66,3.34,NA,NA,NA,NA,NA
"4698","SLRCRT_20220406_1_0257_1_01","SLRCRT_20220406_1_0257_1",25.6,22.42,5.71,7.8,0.4,NA,0.4,12.8,8.17,NA,NA,NA,NA,NA
"4699","SLRCRT_20220406_1_0261_1_01","SLRCRT_20220406_1_0261_1",25.5,20.45,5.82,7.78,0.7,NA,0.7,5.55,5.62,NA,NA,NA,NA,NA
"4700","SLRCRT_20220406_1_0262_1_01","SLRCRT_20220406_1_0262_1",25.5,21.47,6.6,7.87,0.4,NA,0.4,9.09,7.4,NA,NA,NA,NA,NA
"4701","SLRCRT_20220406_1_0264_1_01","SLRCRT_20220406_1_0264_1",25.7,21.04,6.71,7.9,0.4,NA,0.4,4.8,2.24,NA,NA,NA,NA,NA
"4702","SLRCRT_20220406_1_0269_1_01","SLRCRT_20220406_1_0269_1",26,20.87,6.42,7.83,0.45,NA,0.45,5.14,1.87,NA,NA,NA,NA,NA
"4703","SLRCRT_20220406_1_0270_1_01","SLRCRT_20220406_1_0270_1",26,21.17,5.81,7.74,0.65,NA,0.65,11.2,4.26,NA,NA,NA,NA,NA
"4704","SLRCRT_20220406_1_0271_1_01","SLRCRT_20220406_1_0271_1",26.7,16.38,4.94,7.59,0.4,NA,0.4,8.67,11.25,NA,NA,NA,NA,NA
"4705","CRRCRT_20220412_1_0230_1_01","CRRCRT_20220412_1_0230_1",22.7,14.97,7.53,8.06,0.7,NA,0.7,2.54,1.95,NA,NA,NA,NA,NA
"4706","CRRCRT_20220412_1_0231_1_01","CRRCRT_20220412_1_0231_1",22.7,21.1,8,8.18,0.5,NA,0.5,2.68,3.34,NA,NA,NA,NA,NA
"4707","CRRCRT_20220412_1_0232_1_01","CRRCRT_20220412_1_0232_1",23.3,27.56,7.65,8.25,0.6,NA,0.6,5.06,4.87,NA,NA,NA,NA,NA
"4708","CRRCRT_20220412_1_0233_1_01","CRRCRT_20220412_1_0233_1",23.7,30.12,7.42,8.24,0.7,NA,0.7,2.91,3.18,NA,NA,NA,NA,NA
"4709","LXRCRT_20220503_1_0242_1_01","LXRCRT_20220503_1_0242_1",28.3,19.8,6.54,7.9,0.5,NA,0.5,4.33,14.95,NA,NA,NA,NA,NA
"4710","LXRCRT_20220503_1_0243_1_01","LXRCRT_20220503_1_0243_1",28.5,20.42,7.13,7.96,0.5,NA,0.5,3.88,5.01,NA,NA,NA,NA,NA
"4711","LXRCRT_20220503_1_0244_1_01","LXRCRT_20220503_1_0244_1",28,14.62,6.69,7.88,0.65,NA,0.65,5.05,0.95,NA,NA,NA,NA,NA
"4712","LXRCRT_20220503_1_0246_1_01","LXRCRT_20220503_1_0246_1",28,29.82,6.25,7.94,0.45,NA,0.45,5.98,4.46,NA,NA,NA,NA,NA
"4713","LXRCRT_20220503_1_0247_1_01","LXRCRT_20220503_1_0247_1",28.2,30.18,7.31,8.08,0.45,NA,0.45,8.78,3.05,NA,NA,NA,NA,NA
"4714","LXRCRT_20220503_1_0249_1_01","LXRCRT_20220503_1_0249_1",28.3,30.16,7.32,8.07,0.4,NA,0.4,6.69,3.8,NA,NA,NA,NA,NA
"4715","SLRCRT_20220504_1_0255_1_01","SLRCRT_20220504_1_0255_1",26.3,23.34,5.95,7.91,0.45,NA,0.45,3.97,3.27,NA,NA,NA,NA,NA
"4716","SLRCRT_20220504_1_0256_1_01","SLRCRT_20220504_1_0256_1",26.3,23.6,6.14,7.9,0.4,NA,0.4,6.26,4.26,NA,NA,NA,NA,NA
"4717","SLRCRT_20220504_1_0257_1_01","SLRCRT_20220504_1_0257_1",26.2,21.18,6.1,7.9,0.35,NA,0.35,3.93,4.2,NA,NA,NA,NA,NA
"4718","SLRCRT_20220504_1_0261_1_01","SLRCRT_20220504_1_0261_1",25.7,11.99,6.78,8.01,0.6,NA,0.6,2.71,1.06,NA,NA,NA,NA,NA
"4719","SLRCRT_20220504_1_0262_1_01","SLRCRT_20220504_1_0262_1",26.2,16.63,7.25,8,0.5,NA,0.5,3.87,5.22,NA,NA,NA,NA,NA
"4720","SLRCRT_20220504_1_0264_1_01","SLRCRT_20220504_1_0264_1",25.9,13.94,7.36,8,0.35,NA,0.35,5.43,3.76,NA,NA,NA,NA,NA
"4721","SLRCRT_20220504_1_0269_1_01","SLRCRT_20220504_1_0269_1",26.6,18.66,6.92,7.96,0.4,NA,0.4,12.5,4.31,NA,NA,NA,NA,NA
"4722","SLRCRT_20220504_1_0270_1_01","SLRCRT_20220504_1_0270_1",26.5,20.32,6.49,7.84,0.45,NA,0.45,5.88,4.29,NA,NA,NA,NA,NA
"4723","SLRCRT_20220504_1_0271_1_01","SLRCRT_20220504_1_0271_1",27.4,17.97,4.46,7.5,0.4,NA,0.3,14.9,17.92,NA,NA,NA,NA,NA
"4724","CRRCRT_20220518_1_0230_1_01","CRRCRT_20220518_1_0230_1",29.3,18,6.32,7.96,0.8,NA,0.8,2.38,1.42,NA,NA,NA,NA,NA
"4725","CRRCRT_20220518_1_0231_1_01","CRRCRT_20220518_1_0231_1",29,19.45,7.15,8.06,0.65,NA,0.65,1.22,1.87,NA,NA,NA,NA,NA
"4726","CRRCRT_20220518_1_0232_1_01","CRRCRT_20220518_1_0232_1",29.2,26.76,6.34,8.14,0.8,NA,0.8,1.24,1.02,NA,NA,NA,NA,NA
"4727","CRRCRT_20220518_1_0233_1_01","CRRCRT_20220518_1_0233_1",29.4,30.74,7.5,8.24,0.95,NA,0.95,1.76,1.36,NA,NA,NA,NA,NA
"4728","LXRCRT_20220608_1_0242_1_01","LXRCRT_20220608_1_0242_1",29.4,7.59,5.37,7.71,0.45,NA,0.45,4.03,1.62,NA,NA,NA,NA,NA
"4729","LXRCRT_20220608_1_0243_1_01","LXRCRT_20220608_1_0243_1",29.7,7.51,5.49,7.66,0.4,NA,0.4,5.57,2.66,NA,NA,NA,NA,NA
"4730","LXRCRT_20220608_1_0244_1_01","LXRCRT_20220608_1_0244_1",28.6,2.56,4.78,7.63,0.5,NA,0.5,3.73,1.52,NA,NA,NA,NA,NA
"4731","LXRCRT_20220608_1_0246_1_01","LXRCRT_20220608_1_0246_1",29.9,30.11,6.24,8.03,0.55,NA,0.55,4.24,3.19,NA,NA,NA,NA,NA
"4732","LXRCRT_20220608_1_0247_1_01","LXRCRT_20220608_1_0247_1",29.7,30.21,5.53,7.94,0.6,NA,0.6,3.49,2.06,NA,NA,NA,NA,NA
"4733","LXRCRT_20220608_1_0249_1_01","LXRCRT_20220608_1_0249_1",30.2,31.55,6.39,8.02,0.65,NA,0.65,2.96,2.26,NA,NA,NA,NA,NA
"4734","SLRCRT_20220607_1_0255_1_01","SLRCRT_20220607_1_0255_1",29.8,21.24,6.89,8.01,1,NA,1,6.72,3.35,NA,NA,NA,NA,NA
"4735","SLRCRT_20220607_1_0256_1_01","SLRCRT_20220607_1_0256_1",28.4,21.78,5.8,7.92,0.75,NA,0.75,9.01,5.64,NA,NA,NA,NA,NA
"4736","SLRCRT_20220607_1_0257_1_01","SLRCRT_20220607_1_0257_1",28.7,20.47,5.69,7.87,0.65,NA,0.65,4.35,0.98,NA,NA,NA,NA,NA
"4737","SLRCRT_20220608_1_0261_1_01","SLRCRT_20220608_1_0261_1",27.9,14.19,6.29,7.98,1.1,NA,1.1,2.56,1.34,NA,NA,NA,NA,NA
"4738","SLRCRT_20220608_1_0262_1_01","SLRCRT_20220608_1_0262_1",27.1,13.71,7.03,8.06,0.8,NA,0.8,3.62,0.91,NA,NA,NA,NA,NA
"4739","SLRCRT_20220608_1_0264_1_01","SLRCRT_20220608_1_0264_1",28.6,16.07,4.58,7.69,0.7,NA,0.7,3.88,1.62,NA,NA,NA,NA,NA
"4740","SLRCRT_20220608_1_0269_1_01","SLRCRT_20220608_1_0269_1",28.2,18.53,4.89,7.77,0.75,NA,0.75,2.88,2.16,NA,NA,NA,NA,NA
"4741","SLRCRT_20220608_1_0270_1_01","SLRCRT_20220608_1_0270_1",28.8,18.52,4.8,7.75,0.7,NA,0.7,7.77,6.58,NA,NA,NA,NA,NA
"4742","SLRCRT_20220608_1_0271_1_01","SLRCRT_20220608_1_0271_1",28.3,14.4,6.13,7.83,0.65,NA,0.65,3.58,3.32,NA,NA,NA,NA,NA
"4743","CRRCRT_20220614_1_0230_1_01","CRRCRT_20220614_1_0230_1",29.4,2,7.85,8.15,0.9,NA,0.8,2.62,2.58,NA,NA,NA,NA,NA
"4744","CRRCRT_20220614_1_0231_1_01","CRRCRT_20220614_1_0231_1",29.6,3.53,7.62,8.1,0.7,NA,0.7,2.45,1.79,NA,NA,NA,NA,NA
"4745","CRRCRT_20220614_1_0232_1_01","CRRCRT_20220614_1_0232_1",30.9,13.13,6.79,7.98,0.85,NA,0.85,1.6,0.4,NA,NA,NA,NA,NA
"4746","CRRCRT_20220614_1_0233_1_01","CRRCRT_20220614_1_0233_1",31.2,16.25,6.74,7.98,0.95,NA,0.95,3.11,1.22,NA,NA,NA,NA,NA
"4747","LXRCRT_20220705_1_0242_1_01","LXRCRT_20220705_1_0242_1",32.8,14.48,7.13,7.86,0.8,NA,0.8,3.49,0.81,NA,NA,NA,NA,NA
"4748","LXRCRT_20220705_1_0243_1_01","LXRCRT_20220705_1_0243_1",33,16.43,7.24,7.91,0.6,NA,0.6,3.52,0.45,NA,NA,NA,NA,NA
"4749","LXRCRT_20220705_1_0244_1_01","LXRCRT_20220705_1_0244_1",32.3,14.1,7.28,7.87,0.7,NA,0.7,3.95,0.55,NA,NA,NA,NA,NA
"4750","LXRCRT_20220705_1_0246_1_01","LXRCRT_20220705_1_0246_1",32.8,24.35,7.86,7.97,0.8,NA,0.8,3.6,2.78,NA,NA,NA,NA,NA
"4751","ABRCRT_20150428_1_0158_1_01","ABRCRT_20150428_1_0158_1",24.2,17.5,5.81,NA,1.75,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4752","ABRCRT_20150428_1_0162_1_01","ABRCRT_20150428_1_0162_1",23.3,9.6,6.95,NA,2.5,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4753","ABRCRT_20150428_1_0010_1_01","ABRCRT_20150428_1_0010_1",24.4,9.4,6.84,NA,2.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4754","ABRCRT_20150428_1_0018_1_01","ABRCRT_20150428_1_0018_1",24.3,9.9,7.1,NA,2.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4755","ABRCRT_20150428_1_0089_1_01","ABRCRT_20150428_1_0089_1",24.1,11,7.01,NA,3.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4756","ABRCRT_20150428_1_0098_1_01","ABRCRT_20150428_1_0098_1",24.1,9.9,7.51,NA,2,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4757","ABRCRT_20150428_1_0101_1_01","ABRCRT_20150428_1_0101_1",24.2,11.5,7.8,NA,2,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4758","ABRCRT_20150526_1_0153_1_01","ABRCRT_20150526_1_0153_1",28.5,13.9,7.59,NA,1.3,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4759","ABRCRT_20150526_1_0160_1_01","ABRCRT_20150526_1_0160_1",28.4,21.1,7.32,NA,1.6,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4760","ABRCRT_20150526_1_0165_1_01","ABRCRT_20150526_1_0165_1",28.4,29.6,6.81,NA,2.1,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4761","ABRCRT_20150526_1_0006_1_01","ABRCRT_20150526_1_0006_1",29.5,11.1,7.48,NA,2.7,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4762","ABRCRT_20150526_1_0015_1_01","ABRCRT_20150526_1_0015_1",28.6,34.4,6.46,NA,2.7,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4763","ABRCRT_20150526_1_0024_1_01","ABRCRT_20150526_1_0024_1",29.4,32.1,6.58,NA,2.1,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4764","ABRCRT_20150526_1_0096_1_01","ABRCRT_20150526_1_0096_1",28.6,34.8,6.36,NA,1.7,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4765","ABRCRT_20150526_1_0100_1_01","ABRCRT_20150526_1_0100_1",28.9,33.9,7.05,NA,2.1,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4766","ABRCRT_20150623_1_0158_1_01","ABRCRT_20150623_1_0158_1",31.9,31.5,5.97,NA,1.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4767","ABRCRT_20150623_1_0162_1_01","ABRCRT_20150623_1_0162_1",32.5,17.5,7.61,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"4768","ABRCRT_20150623_1_0010_1_01","ABRCRT_20150623_1_0010_1",32,14.7,8,NA,2,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4769","ABRCRT_20150623_1_0018_1_01","ABRCRT_20150623_1_0018_1",31.5,27.1,5.94,NA,2.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4770","ABRCRT_20150623_1_0089_1_01","ABRCRT_20150623_1_0089_1",32,18.6,6.07,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"4771","ABRCRT_20150623_1_0098_1_01","ABRCRT_20150623_1_0098_1",31.7,19.6,6.71,NA,1.5,NA,1,NA,NA,NA,NA,NA,NA,NA
"4772","ABRCRT_20150623_1_0101_1_01","ABRCRT_20150623_1_0101_1",31.4,22,6.26,NA,1.75,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4773","ABRCRT_20150721_1_0153_1_01","ABRCRT_20150721_1_0153_1",30.7,33.3,6.03,NA,1.2,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4774","ABRCRT_20150721_1_0160_1_01","ABRCRT_20150721_1_0160_1",30.2,33,6.73,NA,2,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4775","ABRCRT_20150721_1_0165_1_01","ABRCRT_20150721_1_0165_1",29.9,37.2,6.82,NA,2,NA,1,NA,NA,"Salinity outside expected range; ",NA,NA,NA,NA
"4776","ABRCRT_20150721_1_0006_1_01","ABRCRT_20150721_1_0006_1",31.2,7.3,8.32,NA,2.5,NA,1,NA,NA,NA,NA,NA,NA,NA
"4777","ABRCRT_20150721_1_0015_1_01","ABRCRT_20150721_1_0015_1",30.2,19.3,7.7,NA,2.7,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4778","ABRCRT_20150721_1_0024_1_01","ABRCRT_20150721_1_0024_1",30.9,14.6,7.93,NA,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4779","ABRCRT_20150721_1_0096_1_01","ABRCRT_20150721_1_0096_1",30.4,22.2,7.49,NA,1.7,NA,1,NA,NA,NA,NA,NA,NA,NA
"4780","ABRCRT_20150721_1_0100_1_01","ABRCRT_20150721_1_0100_1",30.7,22.5,7.52,NA,2.3,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4781","ABRCRT_20150813_1_0158_1_01","ABRCRT_20150813_1_0158_1",29.4,26.7,6.26,8.35,2,NA,1.5,NA,NA,NA,NA,NA,NA,NA
"4782","ABRCRT_20150813_1_0162_1_01","ABRCRT_20150813_1_0162_1",30.2,28.6,5.2,8.27,2,NA,1.5,NA,NA,NA,NA,NA,NA,NA
"4783","ABRCRT_20150813_1_0010_1_01","ABRCRT_20150813_1_0010_1",30.4,22.05,7.77,8.36,2.5,NA,1,NA,NA,NA,NA,NA,NA,NA
"4784","ABRCRT_20150813_1_0018_1_01","ABRCRT_20150813_1_0018_1",30.1,24.4,6.37,8.31,2.5,NA,1,NA,NA,NA,NA,NA,NA,NA
"4785","ABRCRT_20150813_1_0089_1_01","ABRCRT_20150813_1_0089_1",30,24.02,4.89,8.12,NA,NA,0.75,NA,NA,"Not all WQ recorded; ",NA,NA,NA,NA
"4786","ABRCRT_20150813_1_0098_1_01","ABRCRT_20150813_1_0098_1",30.1,24.3,6.23,8.26,1.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4787","ABRCRT_20150813_1_0101_1_01","ABRCRT_20150813_1_0101_1",30.2,26.07,6.36,8.26,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"4788","ABRCRT_20150910_1_0158_1_01","ABRCRT_20150910_1_0158_1",28.3,20.96,6.15,8.4,1.75,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4789","ABRCRT_20150910_1_0162_1_01","ABRCRT_20150910_1_0162_1",28.5,24.08,5.97,8.4,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"4790","ABRCRT_20150910_1_0167_1_01","ABRCRT_20150910_1_0167_1",28.8,27.33,6.06,8.38,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4791","ABRCRT_20150910_1_0006_1_01","ABRCRT_20150910_1_0006_1",29.6,18.21,8.14,8.53,NA,NA,0.75,NA,NA,"Not all WQ recorded; pH outside expected range",NA,NA,NA,NA
"4792","ABRCRT_20150910_1_0010_1_01","ABRCRT_20150910_1_0010_1",29.7,22.07,7.48,8.51,2.75,NA,1,NA,NA,"pH outside expected range; ",NA,NA,NA,NA
"4793","ABRCRT_20150910_1_0015_1_01","ABRCRT_20150910_1_0015_1",28.6,26,6.81,8.49,2.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4794","ABRCRT_20150910_1_0018_1_01","ABRCRT_20150910_1_0018_1",28.6,27.02,6.7,8.48,2.5,NA,1,NA,NA,NA,NA,NA,NA,NA
"4795","ABRCRT_20150910_1_0024_1_01","ABRCRT_20150910_1_0024_1",29.3,18.94,7.88,8.54,2.25,NA,1,NA,NA,"pH outside expected range; ",NA,NA,NA,NA
"4796","ABRCRT_20150910_1_0096_1_01","ABRCRT_20150910_1_0096_1",28.7,25.68,6.78,8.48,1.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4797","ABRCRT_20150910_1_0100_1_01","ABRCRT_20150910_1_0100_1",28.9,29.91,6.1,8.39,2.25,NA,1.5,NA,NA,NA,NA,NA,NA,NA
"4798","ABRCRT_20150910_1_0102_1_01","ABRCRT_20150910_1_0102_1",28.6,21.02,7.45,8.5,NA,NA,1.25,NA,NA,"Not all WQ recorded; ",NA,NA,NA,NA
"4799","ABRCRT_20170914_1_0155_1_01","ABRCRT_20170914_1_0155_1",25.9,22.54,8.81,8.21,1.5,NA,1.25,NA,NA,"DO outside expected range; ",NA,NA,NA,NA
"4800","ABRCRT_20170914_1_0160_1_01","ABRCRT_20170914_1_0160_1",25.4,26.76,8.36,8.17,2.25,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4801","ABRCRT_20170914_1_0167_1_01","ABRCRT_20170914_1_0167_1",25.8,19.2,9.17,8.24,1.5,NA,0.75,NA,NA,"DO outside expected range; ",NA,NA,NA,NA
"4802","ABRCRT_20170914_1_0024_1_01","ABRCRT_20170914_1_0024_1",24.5,25.8,8.41,8.13,2.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4803","ABRCRT_20170914_1_0096_1_01","ABRCRT_20170914_1_0096_1",23.4,17.45,8.54,8.11,2,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4804","ABRCRT_20170914_1_0100_1_01","ABRCRT_20170914_1_0100_1",25.1,24.51,8.61,8.16,2.75,NA,2,NA,NA,NA,NA,NA,NA,NA
"4805","ABRCRT_20171010_1_0158_1_01","ABRCRT_20171010_1_0158_1",27.8,18.9,7.24,7.97,1.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4806","ABRCRT_20171010_1_0162_1_01","ABRCRT_20171010_1_0162_1",27.9,22.04,6.6,7.91,1.75,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4807","ABRCRT_20171010_1_0011_1_01","ABRCRT_20171010_1_0011_1",27.5,25.72,6.3,7.86,1.75,NA,1,NA,NA,NA,NA,NA,NA,NA
"4808","ABRCRT_20171010_1_0019_1_01","ABRCRT_20171010_1_0019_1",27.3,31.16,6.55,8.05,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"4809","ABRCRT_20171010_1_0090_1_01","ABRCRT_20171010_1_0090_1",27.3,29.94,6.57,7.98,3.5,NA,1,NA,NA,NA,NA,NA,NA,NA
"4810","ABRCRT_20171010_1_0098_1_01","ABRCRT_20171010_1_0098_1",27,31.45,6.69,8.09,3.5,NA,2,NA,NA,NA,NA,NA,NA,NA
"4811","ABRCRT_20171010_1_0102_1_01","ABRCRT_20171010_1_0102_1",27.2,29.43,6.71,8,2.25,NA,1,NA,NA,NA,NA,NA,NA,NA
"4812","ABRCRT_20171107_1_0155_1_01","ABRCRT_20171107_1_0155_1",25.2,22.79,8.57,8.35,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"4813","ABRCRT_20171107_1_0160_1_01","ABRCRT_20171107_1_0160_1",22.9,21,8.4,8.28,1.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4814","ABRCRT_20171107_1_0167_1_01","ABRCRT_20171107_1_0167_1",25.2,23.51,8.04,8.33,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"4815","ABRCRT_20171107_1_0007_1_01","ABRCRT_20171107_1_0007_1",23.3,16.26,8.35,8.28,1.5,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4816","ABRCRT_20171107_1_0016_1_01","ABRCRT_20171107_1_0016_1",22.4,22.57,7.68,8,2.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA
"4817","ABRCRT_20171107_1_0024_1_01","ABRCRT_20171107_1_0024_1",22.6,21.28,7.89,8.2,1.75,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"4818","ABRCRT_20171107_1_0096_1_01","ABRCRT_20171107_1_0096_1",22,22.54,7.72,8.14,1.25,NA,1.25,NA,NA,NA,NA,NA,NA,NA
