"OysterID","Date","Section","StationName","Station","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight"
"ABEC2302-07",2023-02-01,"E","Cat Point",11,83.19,61.33,36.03,133.37,0.98,22.44,107.31,4.7,99.45
"ABEC2302-08",2023-02-01,"E","Cat Point",11,76,65.53,34.21,120.77,0.98,19.96,97.6,3.99,88.23
"ABEC2302-09",2023-02-01,"E","Cat Point",11,68.75,54.19,36.37,101.68,0.98,13.79,83.63,3.17,74.2
"ABEC2302-10",2023-02-01,"E","Cat Point",11,54.75,54.11,24.7,55.59,0.99,9.85,44.57,2.4,41.61
"ABEC2302-11",2023-02-01,"E","Cat Point",11,65.93,56.01,23.17,57.96,0.99,9.39,47.92,2.33,45.68
"ABEC2302-12",2023-02-01,"E","Cat Point",11,65.13,52.48,29.7,85.22,0.99,11.26,70.51,2.99,66.62
"ABEC2302-13",2023-02-01,"E","Cat Point",11,73.67,57.45,28.27,64.52,0.98,13.15,49.12,3.21,45.97
"ABCC2302-18",2023-02-01,"C","East Lumps",10,80.59,72.65,35.88,110.69,1.01,17.06,87.43,4.42,83
"ABCC2302-19",2023-02-01,"C","East Lumps",10,70.32,54.76,31.84,74.22,1,9.7,62.35,2.76,59.73
"ABCC2302-20",2023-02-01,"C","East Lumps",10,71.42,63.48,24.75,63.52,1,9.35,51.41,2.71,49.04
"ABCC2302-21",2023-02-01,"C","East Lumps",10,66.68,55.68,29.95,63.62,0.97,7.14,54.54,2.31,50.82
"ABCC2302-22",2023-02-01,"C","East Lumps",10,74.95,64.15,38.93,92.81,0.99,12.08,77.22,3.13,71.37
"ABCC2302-23",2023-02-01,"C","East Lumps",10,66.59,58.19,32.06,70.38,0.97,8.61,59.76,2.56,57.26
"ABCC2302-24",2023-02-01,"C","East Lumps",10,61.78,59.67,28.22,67.89,0.97,9.55,55.6,2.6,52.22
"ABCC2302-25",2023-02-01,"C","East Lumps",10,96.48,72.2,32.08,126.7,1.01,19.6,99.93,4.35,93.3
"ABCC2302-09",2023-02-01,"C","Lighthouse",7,69.25,44.15,20.48,54.22,1.01,12.03,38.47,3.4,35.99
"ABCC2302-10",2023-02-01,"C","Lighthouse",7,75.36,67.23,33.11,92.71,0.97,13.28,73.94,3.39,70.67
"ABCC2302-11",2023-02-01,"C","Lighthouse",7,67.93,62.64,29.79,78.44,0.98,11.76,64.29,2.85,61.13
"ABCC2302-12",2023-02-01,"C","Lighthouse",7,72.67,59.63,29.8,92.36,1.01,12.16,77.23,2.83,72.65
"ABCC2302-13",2023-02-01,"C","Lighthouse",7,102.12,58.38,27.96,114.92,1.02,23.65,79.41,3.96,71.13
"ABCC2302-14",2023-02-01,"C","Lighthouse",7,61.45,52.78,24.65,58.4,1.02,8.22,47.37,2.5,44.5
"ABCC2302-15",2023-02-01,"C","Lighthouse",7,52.99,47.88,29.21,59.57,1.01,8.41,39.98,2.55,38.25
"ABCC2302-16",2023-02-01,"C","Lighthouse",7,67.4,49.57,28.5,59.83,1.01,13.11,42.7,3.4,39.34
"ABCC2302-17",2023-02-01,"C","Lighthouse",7,69.08,51.36,26.54,72.71,1,12.3,57.22,3.31,53.41
"ABCC2302-01",2023-02-01,"C","Halfmoon",6,68.89,51.44,24.01,63.02,0.99,9.53,52.98,2.57,50.71
"ABCC2302-02",2023-02-01,"C","Halfmoon",6,68.72,51.9,32.08,65.52,1,8.97,56.14,2.36,51.46
"ABCC2302-03",2023-02-01,"C","Halfmoon",6,65.08,56.95,34.72,78.56,1.02,8.33,67.94,2.2,64.15
"ABCC2302-04",2023-02-01,"C","Halfmoon",6,73.57,53.06,30.09,85.87,0.99,9.73,68.94,1.87,63.91
"ABCC2302-05",2023-02-01,"C","Halfmoon",6,71.3,64.19,27.2,89.1,1.01,13.38,73.45,3.03,68.52
"ABCC2302-06",2023-02-01,"C","Halfmoon",6,86.62,56.12,32.43,141.55,1.01,15.93,122.89,3.77,114.3
"ABCC2302-07",2023-02-01,"C","Halfmoon",6,86.55,71.16,32.35,139.73,0.98,16.33,116.63,3.65,110.6
"ABCC2302-08",2023-02-01,"C","Halfmoon",6,72.51,65.36,29.23,66.24,1.01,14.2,46.56,2.92,42.43
"ABWC2301-10",2023-01-05,"W","Cabbage Top",2,108.35,85.66,46.67,260.2,2.26,26.23,216.8,7.65,209.75
"ABWC2301-11",2023-01-05,"W","Cabbage Top",2,99.34,78.2,49.91,235.5,2.26,29.5,194.07,9.53,178.71
"ABWC2301-12",2023-01-05,"W","Cabbage Top",2,105.37,63.31,40,183.68,1,30.15,131.7,8.31,123.19
"ABWC2301-13",2023-01-05,"W","Cabbage Top",2,98.42,80.25,43.16,238.7,2.23,28.98,184.9,9.19,171.55
"ABWC2301-14",2023-01-05,"W","Cabbage Top",2,89.12,75.83,38.42,190.6,1.01,22.19,161.09,5.84,155.05
"ABWC2301-15",2023-01-05,"W","Cabbage Top",2,99.89,69.05,41.13,159.01,0.98,25.37,125.49,6.05,115.04
"ABWC2301-16",2023-01-05,"W","Cabbage Top",2,93.83,58.8,45.79,186.42,0.99,22.03,152.27,6.5,141.58
"ABWC2301-17",2023-01-05,"W","Cabbage Top",2,79.38,45.53,39.57,106.25,1,11.1,89.59,3.09,81.24
"ABWC2301-18",2023-01-05,"W","Cabbage Top",2,96.41,71.34,44.95,208.33,1,36.44,151.9,9.66,135.31
"ABWC2301-19",2023-01-05,"W","Cabbage Top",2,92.98,80.55,41.06,253.2,0.96,33.11,205.48,8.58,190.48
"ABWC2301-20",2023-01-05,"W","Cabbage Top",2,101.39,73.18,55.37,248,0.98,37.11,192.4,9.91,172.69
"ABWC2301-21",2023-01-05,"W","Cabbage Top",2,95.32,56.75,32.41,143.78,0.99,18.56,115.05,5.63,106.24
"ABWC2301-22",2023-01-05,"W","Cabbage Top",2,76.74,71.16,33.6,108.22,0.97,17.99,83.52,5.55,77.37
"ABWC2301-23",2023-01-05,"W","Cabbage Top",2,79.32,60.86,37.8,134.93,0.98,18.77,105.73,5.7,96.48
"ABWC2301-24",2023-01-05,"W","Cabbage Top",2,106.24,73.44,46.95,299.1,0.97,34.95,231,9.23,205.77
"ABWC2301-25",2023-01-05,"W","Cabbage Top",2,101.99,87.16,36.41,207.1,1,26.12,169.07,6.88,156.85
"ABWC2301-09",2023-01-05,"W","Cabbage Top",2,94.23,75.58,50.28,217.91,1.03,22.58,181.24,6.42,168.22
"ABWC2301-01",2023-01-05,"W","Paradise Flats",1,88.21,95.35,55.61,247.6,2.3,48.77,188.66,10.99,179.52
"ABWC2301-02",2023-01-05,"W","Paradise Flats",1,96.64,73.53,43.36,212.59,2.21,36.63,170.43,9.33,159.69
"ABWC2301-03",2023-01-05,"W","Paradise Flats",1,84.63,78.4,37.08,174.69,1,19.48,149.67,5.15,143.88
"ABWC2301-04",2023-01-05,"W","Paradise Flats",1,99.59,80.72,55.02,310.2,2.29,34.23,261.6,8.64,242.2
"ABWC2301-05",2023-01-05,"W","Paradise Flats",1,82.28,63.78,38.81,175.7,0.99,21.79,148.67,5.32,141.42
"ABWC2301-06",2023-01-05,"W","Paradise Flats",1,102.69,78.58,52.13,295.9,2.22,39.64,241.6,10.36,226.7
"ABWC2301-07",2023-01-05,"W","Paradise Flats",1,96.05,62.91,48.65,248.8,1.02,31.44,194.46,4.11,173.47
"ABWC2301-08",2023-01-05,"W","Paradise Flats",1,91.9,63.15,51.24,213.71,1.01,32.17,173.65,8,159.81
"ABEC2301-01",2023-01-05,"E","Easthole",12,86.9,59.95,29.74,101.61,1.02,17.36,83.12,3.72,80.61
"ABEC2301-02",2023-01-05,"E","Easthole",12,76.1,56.95,26.91,75.58,1.02,10.89,61.98,2.52,57.35
"ABEC2301-03",2023-01-05,"E","Easthole",12,78.47,54.28,37.4,111.66,1.01,12.67,96.78,2.83,89.4
"ABEC2301-04",2023-01-05,"E","Easthole",12,96.58,58.21,34.94,133.56,1,18.2,106.5,3.56,95.48
"ABEC2301-05",2023-01-05,"E","Easthole",12,60.71,45.75,23.43,42.81,1,7.5,34.71,2.23,32.36
"ABEC2301-06",2023-01-05,"E","Easthole",12,81.78,63.82,28.45,100.44,1,12.33,83.65,2.93,80.21
"ABEC2301-07",2023-01-05,"E","Easthole",12,79.77,67.87,32.03,115.42,1.01,13.13,101.16,3.27,97.72
"ABEC2301-08",2023-01-05,"E","Easthole",12,73.48,53.02,37.8,94.77,1.01,12.6,79.95,2.95,75.94
"ABEC2301-09",2023-01-05,"E","Easthole",12,74.33,55.66,26.02,74.48,0.99,11.36,62.8,2.85,60.17
"ABEC2301-10",2023-01-05,"E","Easthole",12,63.15,38.8,21.87,43.12,0.99,4.08,40.03,1.43,36.75
"ABEC2301-11",2023-01-05,"E","Easthole",12,84.06,58.35,33.66,112.08,1.01,15.81,92.22,3.67,85.87
"ABEC2301-12",2023-01-05,"E","Easthole",12,75.25,60.75,23.53,60.01,1,9.3,50.35,2.56,48.27
"ABEC2301-13",2023-01-05,"E","Easthole",12,79.64,58.15,22.75,76.87,1.01,12.39,64.32,2.94,60.39
"ABEC2301-14",2023-01-05,"E","Cat Point",11,104.01,65.7,45.79,206.99,1.01,25,168.28,4.96,153.41
"ABEC2301-15",2023-01-05,"E","Cat Point",11,78.86,46.75,26.62,59.91,1,10.98,47.74,2.86,44.51
"ABEC2301-16",2023-01-05,"E","Cat Point",11,72.97,56.69,24.34,82.45,1.02,12.41,70.08,3.18,68.09
"ABEC2301-17",2023-01-05,"E","Cat Point",11,87.86,48.21,22.32,60,1.01,11.21,48.33,2.85,46.2
"ABEC2301-18",2023-01-05,"E","Cat Point",11,62.19,45.99,29.22,53.49,1.01,10.53,40.9,2.63,38.89
"ABEC2301-19",2023-01-05,"E","Cat Point",11,67.94,58.36,27.94,73.9,1.02,10.64,63.31,2.89,59.93
"ABEC2301-20",2023-01-05,"E","Cat Point",11,78.95,61.5,24.85,85.37,1.01,13.44,69.85,3.26,66.75
"ABEC2301-21",2023-01-05,"E","Cat Point",11,67.93,47.93,35.06,74.39,1.02,11.42,57.52,2.62,51.64
"ABEC2301-22",2023-01-05,"E","Cat Point",11,65.45,51.57,29.44,80.13,1.02,8.49,71.23,2.44,67.34
"ABEC2301-23",2023-01-05,"E","Cat Point",11,76.85,50.77,58.67,71.2,1.01,8.59,57.72,2.37,53.18
"ABEC2301-24",2023-01-05,"E","Cat Point",11,64.02,44.58,21.68,44.95,1,5.66,39.42,1.91,38.36
"ABEC2301-25",2023-01-05,"E","Cat Point",11,72.06,53.86,23.02,50.08,1,9.84,39.05,2.7,35.87
"ABCC2301-18",2023-01-05,"C","East Lumps",10,65.94,42.92,29.25,63.58,1.04,9.09,51.95,2.35,48.48
"ABCC2301-19",2023-01-05,"C","East Lumps",10,65.92,53.5,27.71,68.43,0.99,9.32,55.65,2.38,52.32
"ABCC2301-20",2023-01-05,"C","East Lumps",10,82.36,58.47,29.26,84.82,0.99,13.12,70.51,3.18,65.94
"ABCC2301-21",2023-01-05,"C","East Lumps",10,75.67,56.77,28.32,74.38,0.99,9.25,64.57,2.4,61.41
"ABCC2301-22",2023-01-05,"C","East Lumps",10,68.1,48.79,29.53,54.86,0.99,6.72,46.11,1.8,44.24
"ABCC2301-23",2023-01-05,"C","East Lumps",10,64.21,47.02,27.33,55.24,0.99,9.01,44.84,2.26,42.63
"ABCC2301-24",2023-01-05,"C","East Lumps",10,84.75,47.51,33.36,74.35,0.98,12.1,63.23,3.21,59.53
"ABCC2301-25",2023-01-05,"C","East Lumps",10,64.37,48.6,25.96,54.7,0.99,7.46,47.76,2.11,45.7
"ABCC2301-10",2023-01-05,"C","Lighthouse",7,82.81,46.01,21.19,41.69,1.02,11.03,30.94,2.69,29.29
"ABCC2301-11",2023-01-05,"C","Lighthouse",7,66.97,53.25,31.57,81.8,1.01,12.92,68.71,3.37,66.95
"ABCC2301-12",2023-01-05,"C","Lighthouse",7,86.83,53.31,25.34,62.47,1.01,14.4,45.89,3.34,43.45
"ABCC2301-13",2023-01-05,"C","Lighthouse",7,101.64,64.72,34.56,148.02,1.01,21.65,121.43,4.5,116.96
"ABCC2301-14",2023-01-05,"C","Lighthouse",7,72.53,53.15,28.28,83.78,1,10.59,68.67,2.86,66.76
"ABCC2301-15",2023-01-05,"C","Lighthouse",7,66.54,52.14,22.15,62.6,0.99,9.24,51.28,2.82,49.99
"ABCC2301-16",2023-01-05,"C","Lighthouse",7,91.87,46.75,22.64,66.06,1.01,12.96,49.04,3.14,45.31
"ABCC2301-17",2023-01-05,"C","Lighthouse",7,74.02,51.59,24.78,59.89,0.99,12.97,43.66,3.17,41.37
"ABCC2301-01",2023-01-05,"C","Halfmoon",6,78.49,75.69,47.5,233.5,0.97,30.9,192.91,5.92,179.82
"ABCC2301-02",2023-01-05,"C","Halfmoon",6,91.7,59.94,43.43,210.61,0.97,27.68,177.43,4.42,164.48
"ABCC2301-03",2023-01-05,"C","Halfmoon",6,75.69,51.31,37.08,105.66,0.99,18.12,83.56,4.21,78.43
"ABCC2301-04",2023-01-05,"C","Halfmoon",6,80.52,70.36,28.7,101.16,0.99,24.94,74.42,5.07,68.19
"ABCC2301-05",2023-01-05,"C","Halfmoon",6,106.75,71.72,36.14,166.83,0.97,34.08,128.53,6.7,118.67
"ABCC2301-06",2023-01-05,"C","Halfmoon",6,69.34,50.8,33.27,84.1,0.97,12.45,71.19,3.01,68.22
"ABCC2301-07",2023-01-05,"C","Halfmoon",6,61.69,46.67,21.52,40.51,1.02,7.14,34.1,2.17,32.84
"ABCC2301-08",2023-01-05,"C","Halfmoon",6,71.14,56.41,36.33,86.74,1,10.93,74.85,2.7,71.42
"ABCC2301-09",2023-01-05,"C","Halfmoon",6,77.6,54.58,38.91,119.85,1.02,14.32,102.92,2.54,97.31
"ABWC2212-14",2022-12-05,"W","Cabbage Top",2,63.09,48.87,28.25,63.86,0.98,6.75,54.76,2.34,53.36
"ABWC2212-15",2022-12-05,"W","Cabbage Top",2,64.25,47.63,27.03,59.88,0.96,7.23,49.61,2.33,47.28
"ABWC2212-16",2022-12-05,"W","Cabbage Top",2,66.36,48.52,25.83,73.63,0.99,10.03,60.93,3.18,57.6
"ABWC2212-17",2022-12-05,"W","Cabbage Top",2,81.97,65.26,39.15,179.69,1,20.02,151.49,5.6,141.48
"ABWC2212-18",2022-12-05,"W","Cabbage Top",2,76.92,64.22,37.31,124.1,0.98,17.03,98.49,4.6,93.58
"ABWC2212-19",2022-12-05,"W","Cabbage Top",2,79.68,68.32,40.31,149.79,0.98,24.51,116.53,5.83,109.27
"ABWC2212-20",2022-12-05,"W","Cabbage Top",2,88.24,67.51,29.18,118.87,0.97,19.82,92.91,4.77,89.62
"ABWC2212-21",2022-12-05,"W","Cabbage Top",2,57.36,46.02,30.06,56.96,0.96,8.59,45.28,2.7,42.95
"ABWC2212-22",2022-12-05,"W","Cabbage Top",2,75.59,58.76,37.73,123.43,0.98,19.28,97.12,5.49,90.96
"ABWC2212-23",2022-12-05,"W","Cabbage Top",2,84.98,65.2,37.02,131.91,0.99,17.35,107.63,4.75,99.17
"ABWC2212-24",2022-12-05,"W","Cabbage Top",2,87.41,58.24,35.17,148.57,1,20.58,116.92,5.32,112.28
"ABWC2212-25",2022-12-05,"W","Cabbage Top",2,86.26,55.65,31.44,108.22,0.98,15.37,88.48,4.12,84.49
"ABWC2212-01",2022-12-05,"W","Paradise Flats",1,89.3,70.61,34.3,162.8,0.97,27.94,128.01,5.96,120.23
"ABWC2212-02",2022-12-05,"W","Paradise Flats",1,88.04,58.77,49.4,193.74,0.99,21.69,164.88,5.77,153.07
"ABWC2212-03",2022-12-05,"W","Paradise Flats",1,87.12,67.02,44.33,201.37,2.28,30.05,159.51,7.67,146.45
"ABWC2212-04",2022-12-05,"W","Paradise Flats",1,98.07,64.03,32.02,159.68,0.99,13.71,127.48,2.16,115.95
"ABWC2212-05",2022-12-05,"W","Paradise Flats",1,106.45,83.13,46.47,316.8,2.3,42.68,249.4,11.45,234.1
"ABWC2212-06",2022-12-05,"W","Paradise Flats",1,94.47,72.78,49.68,261.9,2.25,27.49,220.6,8.04,205.73
"ABWC2212-07",2022-12-05,"W","Paradise Flats",1,81.33,62.9,33.61,140.56,1,9.48,111.8,2.05,101.33
"ABWC2212-08",2022-12-05,"W","Paradise Flats",1,99.01,71.5,44.56,176.82,1,21.27,144.43,5.56,136.15
"ABWC2212-09",2022-12-05,"W","Paradise Flats",1,83.52,53.74,32.57,149.12,0.99,12.87,124.35,3.17,116.53
"ABWC2212-10",2022-12-05,"W","Paradise Flats",1,98.31,66.11,54.74,270.6,2.25,32.19,221.3,7.96,200.55
"ABWC2212-11",2022-12-05,"W","Paradise Flats",1,97.22,66.37,42.49,231.2,2.18,27.82,193.31,7.92,180.28
"ABWC2212-12",2022-12-05,"W","Paradise Flats",1,98.65,79.81,36.6,195.2,2.27,24.62,156.97,6.9,143.66
"ABWC2212-13",2022-12-05,"W","Paradise Flats",1,78.07,66.56,32.89,126.82,1,21.21,97.17,5.24,88.05
"ABEC2212-13",2022-12-05,"E","Easthole",12,73.57,65.82,29.53,78.72,1,8.85,65.7,2.34,61.44
"ABEC2212-14",2022-12-05,"E","Easthole",12,83.94,64.41,38.74,135.82,0.98,10.22,114.88,2.78,102.03
"ABEC2212-15",2022-12-05,"E","Easthole",12,84.5,59.38,35.63,123.59,0.99,12.03,102.3,3,95.06
"ABEC2212-16",2022-12-05,"E","Easthole",12,97.21,78.93,38.79,180.54,0.98,14.21,148.99,3.65,130.06
"ABEC2212-17",2022-12-05,"E","Easthole",12,69.43,47.87,31.05,65.98,0.98,7.28,56.22,2.28,53.78
"ABEC2212-18",2022-12-05,"E","Easthole",12,70.12,55.38,30.38,78.96,0.99,8.64,64.09,2.6,60.45
"ABEC2212-19",2022-12-05,"E","Easthole",12,69.61,50.1,29.82,61.62,0.98,5.89,52.97,1.91,50.12
"ABEC2212-20",2022-12-05,"E","Easthole",12,67.9,49.93,32.61,69.38,0.97,7.09,58.65,2.05,56.17
"ABEC2212-21",2022-12-05,"E","Easthole",12,76.3,52.44,36.13,95.12,0.96,17.21,74.66,3.59,66.66
"ABEC2212-22",2022-12-05,"E","Easthole",12,72.52,55.52,29.33,76.92,1.01,8.59,63.77,2.41,60.89
"ABEC2212-23",2022-12-05,"E","Easthole",12,63.18,56.05,27.71,66.47,0.98,6.92,59.46,2.04,57.71
"ABEC2212-24",2022-12-05,"E","Easthole",12,71.05,47.25,31.04,81.07,0.98,9.25,65.79,2.56,61.82
"ABEC2212-25",2022-12-05,"E","Easthole",12,73.5,57.98,29.59,87.15,0.97,9.87,71.37,2.68,67.35
"ABEC2212-01",2022-12-05,"E","Cat Point",11,84.89,54.65,32.82,103.94,0.99,10.04,84.04,2.88,78.38
"ABEC2212-02",2022-12-05,"E","Cat Point",11,78.89,56.28,32.72,93.52,0.98,9.65,74.14,2.77,67.96
"ABEC2212-03",2022-12-05,"E","Cat Point",11,94.15,69.02,39.9,174.23,1.01,13.63,140.7,3.04,125.29
"ABEC2212-04",2022-12-05,"E","Cat Point",11,60.14,50.2,28.86,56.01,0.98,6.51,45.37,2.11,41.85
"ABEC2212-05",2022-12-05,"E","Cat Point",11,66.16,56.61,30.65,66.98,0.95,6.75,55.96,2.18,52.67
"ABEC2212-06",2022-12-05,"E","Cat Point",11,69.62,58,30.82,81.15,0.98,8.56,66.69,2.45,63
"ABEC2212-07",2022-12-05,"E","Cat Point",11,72.04,56.26,32,94.9,0.94,9.66,78.04,2.72,73.29
"ABEC2212-08",2022-12-05,"E","Cat Point",11,69.22,55.29,33.22,77.95,0.99,6.53,66.75,2.15,62.39
"ABEC2212-09",2022-12-05,"E","Cat Point",11,68.05,59.15,29.49,89.81,0.96,9.24,76.32,2.77,70.84
"ABEC2212-10",2022-12-05,"E","Cat Point",11,63.15,48.78,30.19,65.39,0.95,6.59,53.81,2.11,50.11
"ABEC2212-11",2022-12-05,"E","Cat Point",11,76.68,65.47,30.67,105.85,0.97,8.69,92.3,2.38,85.58
"ABEC2212-12",2022-12-05,"E","Cat Point",11,81.46,62.42,36.61,99.97,1,9.07,81.37,2.88,78.37
"ABCC2212-17",2022-12-05,"C","East Lumps",10,76.62,68.17,33.82,84.65,1.01,11.42,67.9,2.93,64.3
"ABCC2212-18",2022-12-05,"C","East Lumps",10,69.33,48.03,24.53,53.78,0.99,7.61,42.83,2.36,41.22
"ABCC2212-19",2022-12-05,"C","East Lumps",10,70.2,59.62,27.38,76.15,1.02,8.95,60.17,2.42,56.9
"ABCC2212-20",2022-12-05,"C","East Lumps",10,74.71,47.29,28.1,66.7,1,9.19,55.58,2.47,52.1
"ABCC2212-21",2022-12-05,"C","East Lumps",10,69.5,49.08,31.8,63.69,0.99,8.47,53.67,2.36,50.53
"ABCC2212-22",2022-12-05,"C","East Lumps",10,76.65,51.88,33.1,86.32,1,7.94,74.62,2.34,70.96
"ABCC2212-23",2022-12-05,"C","East Lumps",10,72.19,55.7,30.44,77.93,1.01,10.18,64.53,2.59,61.59
"ABCC2212-24",2022-12-05,"C","East Lumps",10,67.27,46.83,31.8,79.1,1,9.82,65.84,2.45,63.4
"ABCC2212-25",2022-12-05,"C","East Lumps",10,67.54,50.16,31.37,66.08,1,7.22,53.64,1.9,50.47
"ABCC2212-09",2022-12-05,"C","Lighthouse",7,94.44,61.93,35.98,168.34,0.98,17.97,145.59,4.27,134.96
"ABCC2212-10",2022-12-05,"C","Lighthouse",7,80.9,43.42,22.64,53.04,0.98,11.67,37.02,2.71,32.85
"ABCC2212-11",2022-12-05,"C","Lighthouse",7,87.69,74.3,33.2,173.88,0.99,17.79,150.12,3.8,143.59
"ABCC2212-12",2022-12-05,"C","Lighthouse",7,81.44,55.83,32.86,104.98,1.01,13.39,87.13,3.12,79.92
"ABCC2212-13",2022-12-05,"C","Lighthouse",7,65.9,42.19,24.5,47.5,1,8.41,35.58,2.45,32.41
"ABCC2212-14",2022-12-05,"C","Lighthouse",7,76.9,57.27,30.53,87.59,0.99,13.99,69.65,2.93,66.23
"ABCC2212-15",2022-12-05,"C","Lighthouse",7,81.39,62.81,39.06,130.21,1,14.74,108.86,3.45,100.92
"ABCC2212-16",2022-12-05,"C","Lighthouse",7,92.92,64.84,47.31,221.8,2.32,27.39,177.47,6.5,159.64
"ABCC2212-01",2022-12-05,"C","Halfmoon",6,82.66,61.28,34.21,117.2,1.01,13.57,98.29,3.62,92.62
"ABCC2212-02",2022-12-05,"C","Halfmoon",6,95.63,67.95,39.02,190.37,1.02,20.98,164.01,4.89,155.15
"ABCC2212-03",2022-12-05,"C","Halfmoon",6,88.71,59.12,38.82,136.36,1.03,13.57,117.34,3.54,109.96
"ABCC2212-04",2022-12-05,"C","Halfmoon",6,116.16,58.28,30.17,160.56,1.03,24.4,128.45,4.73,117.78
"ABCC2212-05",2022-12-05,"C","Halfmoon",6,106.61,63.9,36.69,176.76,1.01,19.89,145.48,4.41,137.51
"ABCC2212-06",2022-12-05,"C","Halfmoon",6,88.17,50.93,44.55,149.88,1.03,16,123.79,4.06,116.35
"ABCC2212-07",2022-12-05,"C","Halfmoon",6,100.58,58.5,27.68,108.18,1.01,16.65,87.27,3.91,79.23
"ABCC2212-08",2022-12-05,"C","Halfmoon",6,78.65,62.96,39.38,133.3,0.99,12.35,112.51,3.43,106.8
"ABWC2211-14",2022-11-01,"W","Cabbage Top",2,84.79,66.57,37.34,170.23,0.99,18.97,136.29,4.58,128.97
"ABWC2211-15",2022-11-01,"W","Cabbage Top",2,65,47.4,24.66,58.64,1,8.64,42.6,2.47,38.69
"ABWC2211-16",2022-11-01,"W","Cabbage Top",2,76.44,60.96,37.51,108.06,1,19.37,72.63,3.83,63.78
"ABWC2211-17",2022-11-01,"W","Cabbage Top",2,85.01,68.85,41.7,156.71,1.01,11.94,135.22,3.27,128.59
"ABWC2211-18",2022-11-01,"W","Cabbage Top",2,80.19,69.67,37.93,176.11,1,16.12,145.91,4.06,136.89
"ABWC2211-19",2022-11-01,"W","Cabbage Top",2,83.66,63.61,38.84,128.97,1.03,19.37,92.54,5.2,81.06
"ABWC2211-20",2022-11-01,"W","Cabbage Top",2,81.49,65.2,42.25,152.58,0.99,12.5,127.19,3.21,118.12
"ABWC2211-21",2022-11-01,"W","Cabbage Top",2,74.74,64.35,39.18,116.69,1.02,11.67,94,3.36,88.46
"ABWC2211-22",2022-11-01,"W","Cabbage Top",2,68,57.86,30.96,92.77,0.99,11.85,73.89,3.34,70.25
"ABWC2211-23",2022-11-01,"W","Cabbage Top",2,83.4,65.09,41.19,165.52,1.01,16.74,136.68,4.63,129.05
"ABWC2211-24",2022-11-01,"W","Cabbage Top",2,78.16,59.99,32.8,127.58,1,15.36,104.09,4.11,97.59
"ABWC2211-25",2022-11-01,"W","Cabbage Top",2,79.01,64.47,38.58,133.22,1,14.85,110.91,3.7,103.48
"ABWC2211-01",2022-11-01,"W","Paradise Flats",1,87.99,64.62,41.45,243,0.99,23.97,203.76,5.46,193.34
"ABWC2211-02",2022-11-01,"W","Paradise Flats",1,82.3,60.36,31.57,114.33,1,14.35,84.13,3.24,76.81
"ABWC2211-03",2022-11-01,"W","Paradise Flats",1,81.3,63.03,43.29,175.39,0.99,21.03,142,4.22,132
"ABWC2211-04",2022-11-01,"W","Paradise Flats",1,93.62,66.87,43.43,205.1,0.98,25.26,158.01,4.74,143.29
"ABWC2211-05",2022-11-01,"W","Paradise Flats",1,86.81,63.08,31.11,158.2,1.03,17.69,130.04,4.34,123.6
"ABWC2211-06",2022-11-01,"W","Paradise Flats",1,87.5,76.85,41.23,207.5,1,21.47,170.7,4.67,159.4
"ABWC2211-07",2022-11-01,"W","Paradise Flats",1,75.24,56.42,38,124.87,1.01,15.11,100.79,3.68,93.14
"ABWC2211-08",2022-11-01,"W","Paradise Flats",1,68.31,48.58,33.62,105.55,1.03,11.95,83.32,2.59,75.6
"ABWC2211-09",2022-11-01,"W","Paradise Flats",1,81.51,58.42,38.14,138.39,1,18.19,111.24,4.92,104.75
"ABWC2211-10",2022-11-01,"W","Paradise Flats",1,76.48,69.99,36.96,154.34,1.01,23.33,119.65,5.19,110.41
"ABWC2211-11",2022-11-01,"W","Paradise Flats",1,78.78,63.51,38.93,224.8,1,16.88,192.82,4.13,178.19
"ABWC2211-12",2022-11-01,"W","Paradise Flats",1,87.58,67.59,41.18,171.63,0.99,15.79,148.03,3.78,137.27
"ABWC2211-13",2022-11-01,"W","Paradise Flats",1,75.38,63.42,35.77,156.8,1,20.69,129.33,5.38,121.32
"ABEC2211-14",2022-11-01,"E","Easthole",12,75.97,52.3,32.9,69.93,1,9.97,53.61,2.76,49.41
"ABEC2211-15",2022-11-01,"E","Easthole",12,77.27,52.12,26.56,61.65,0.99,7.65,48.06,2.29,43.22
"ABEC2211-16",2022-11-01,"E","Easthole",12,65.55,48.67,28.36,49.15,0.99,6.56,39.08,2.17,35.06
"ABEC2211-17",2022-11-01,"E","Easthole",12,72.01,52.33,31.3,77.64,0.97,7.31,65.49,2.27,62.2
"ABEC2211-18",2022-11-01,"E","Easthole",12,73.13,49.11,27.41,64.98,0.97,8.72,48.69,2.24,44.17
"ABEC2211-19",2022-11-01,"E","Easthole",12,67.86,45.09,31.61,66.9,0.98,7.29,53.49,2.29,49.31
"ABEC2211-20",2022-11-01,"E","Easthole",12,75.7,49.25,25.24,60.79,0.97,9.23,43.32,2.51,38.63
"ABEC2211-21",2022-11-01,"E","Easthole",12,67.58,55.67,37.72,84.05,0.98,6.84,70.39,2.21,66.06
"ABEC2211-22",2022-11-01,"E","Easthole",12,68.35,48.19,31.37,70.12,0.98,6.16,60.82,2.02,59.04
